fw	class	nMethods	nPorted
Ozone	OZMaterialFactory	2	0
Ozone	virtual thunk to LiCamera	2	0
Ozone	LiBaseCamera	2	0
Ozone	virtual thunk to LiBaseCamera	2	0
Ozone	LiMaterialLayer	2	0
Ozone	virtual thunk to LiMaterialLayer	2	0
Ozone	virtual thunk to ProShade::Node	2	0
Ozone	virtual thunk to LiImageFilter	2	0
Ozone	virtual thunk to OZLiSegmentationFilter	2	0
Ozone	OZChannelParameterComponent	2	0
Ozone	OZChannelLabelComponent	2	0
Ozone	OZAnimStatusCellComponent	2	0
Ozone	OZAutoPropertiesTabController	2	0
Ozone	OZEditableTextFieldCell	2	0
Ozone	OZTimelineModuleView	2	0
Ozone	OZFootageSummaryController	2	0
Ozone	OZ3DSceneFileSummaryController	2	0
Ozone	OZTimelineImageLayerCoordinator	2	0
Ozone	OZPasteboardOwner	2	0
Ozone	OZAutoEffectsInspectorController	2	0
Ozone	OZTimelineVerticalSplitView	2	0
Ozone	OZDropMenuWindowContentView	2	0
Ozone	OZChanElementRefController	2	0
Ozone	OZChanTransformNodeRefController	2	0
Ozone	OZChanImageNodeRefController	2	0
Ozone	OZTimelineRootWrapper	2	0
Ozone	OZTimelineRowAudio	2	0
Ozone	CAMediaTimingFunction	2	0
Ozone	OZResolutionNumberFormatter	2	0
Ozone	OZChanHistogramController	2	0
Ozone	OZChannelMoveableImageController	2	0
Ozone	OZTBTextFieldDelegate	2	0
Ozone	OZImageGeneratorInspectorCtrl	2	0
Ozone	OZProgressTimeFormatter	2	0
Ozone	OZSingleChanBHHUDCtlr	2	0
Ozone	OZBooleanPreference	2	0
Ozone	OZAutoEffectHUDController	2	0
Ozone	OZLayerHUDController	2	0
Ozone	OZChanRotoshapeRefWithPickerController	2	0
Ozone	OZFxPlugHUDController	2	0
Ozone	NSBundle	2	0
Ozone	OZCommandsController	2	0
Ozone	OZLibThumbnailInfo	2	0
Ozone	OZChannelPosition3DGeneratorOSC	2	0
Ozone	OZCircleToolOptions	2	0
Ozone	OZLineToolOptions	2	0
Ozone	OZMaskCircleToolOptions	2	0
Ozone	OZZTranslate3DHUDButton	2	0
Ozone	OZLightingFolderLabelController	2	0
Ozone	OZLibraryPresetsMapOwnershipWrapper	2	0
Ozone	OZImageEnvironmentInspectorCtrl	2	0
Ozone	OZOpticalFlowMainThreadNotifier	2	0
Ozone	OZMoMiniCurveEditorCtrl	2	0
Ozone	OZShadowFolderLabelController	2	0
Ozone	OZMoTimingMoveController	2	0
Ozone	LKSegmentedControl	2	0
Ozone	OZCanvasInactiveRangeView	2	0
Ozone	OZTemporaryUndoHandler	2	0
Ozone	OZPreviewBackgroundView	2	0
Ozone	OZMotionPathVerticesController	2	0
Ozone	NSWindow	2	0
Ozone	OZMainContainerModule	2	0
Flexo	FFSynchronizer	2	0
Flexo	std::__1::__tree<CMTime, std::__1::less<CMTime>, std::__1::allocator<CMTime>>	2	0
Flexo	non-virtual thunk to FFOZActiveToolFolder	2	0
Flexo	non-virtual thunk to FFOZActiveToolFolder_Factory	2	0
Flexo	non-virtual thunk to FFOZAudioUnitEffectRootChannel	2	0
Flexo	non-virtual thunk to FFOZAudioUnitEffectRootChannel_Factory	2	0
Flexo	non-virtual thunk to FFOZBlindDataCustomUIChannel	2	0
Flexo	non-virtual thunk to FFOZBlindDataCustomUIChannel_Factory	2	0
Flexo	FFOZBlindDataCustomUIChannelInfo	2	2
Flexo	non-virtual thunk to FFOZBlindDataCustomUIChannelInfo	2	0
Flexo	non-virtual thunk to FFOZMediaRefChannel_Factory	2	0
Flexo	FFOZMediaRefChannelInfo	2	0
Flexo	non-virtual thunk to FFOZMediaRefChannelInfo	2	0
Flexo	OZCurveEnumSplineState	2	0
Flexo	non-virtual thunk to FFOZRiggedChannelFolder	2	0
Flexo	non-virtual thunk to FFOZRiggedChannelFolder_Factory	2	0
Flexo	non-virtual thunk to FFOZVideoTrackerFolder	2	0
Flexo	non-virtual thunk to FFOZVideoTrackerFolder_Factory	2	0
Flexo	FFAudioDuckingMasterRangeData	2	0
Flexo	FFLocklessQueue<NSSet*>	2	0
Flexo	std::__1::vector<CMTime, std::__1::allocator<CMTime>>	2	0
Flexo	FFLocklessQueueElement<NSSet*>	2	0
Flexo	std::__1::list<FramesAndTimeInfo, std::__1::allocator<FramesAndTimeInfo>>	2	0
Flexo	FFLocklessQueue<FigTimeRangeAndObject*>	2	0
Flexo	FFLocklessQueueElement<FigTimeRangeAndObject*>	2	0
Flexo	std::__1::deque<void () block_pointer, std::__1::allocator<void () block_pointer>>	2	0
Flexo	std::__1::deque<double, std::__1::allocator<double>>	2	0
Flexo	std::__1::set<unsigned int, std::__1::less<unsigned int>, std::__1::allocator<unsigned int>>	2	0
Flexo	std::__1::shared_ptr<FFScheduledReadAudioFile>	2	0
Flexo	std::__1::shared_ptr<FFAudioPlaybackScrubBuffer>	2	0
Flexo	FFAudioUnitParameterInfo* std::__1::vector<FFAudioUnitParameterInfo, std::__1::allocator<FFAudioUnitParameterInfo>>	2	0
Flexo	std::__1::__tree<std::__1::__value_type<void*, std::__1::unique_ptr<FFAUEventHandlerMediator::HandlerMapInfo, std::__1::default_delete<FFAUEventHandlerMediator::HandlerMapInfo>>>, std::__1::__map_value_compare<void*, std::__1::pair<void* const, std::__1::unique_ptr<FFAUEventHandlerMediator::HandlerMapInfo, std::__1::default_delete<FFAUEventHandlerMediator::HandlerMapInfo>>>, std::__1::less<void*>, true>, std::__1::allocator<std::__1::pair<void* const, std::__1::unique_ptr<FFAUEventHandlerMediator::HandlerMapInfo, std::__1::default_delete<FFAUEventHandlerMediator::HandlerMapInfo>>>>>	2	0
Flexo	void std::__1::__uninitialized_allocator_relocate[abi:nqe210106]<std::__1	2	0
Flexo	PCMatrix44Tmpl<float>	2	0
Flexo	FFNSObjectStorage	2	0
Flexo	OZChannelAngleInfo	2	0
Flexo	non-virtual thunk to OZChannelAngleInfo	2	0
Flexo	non-virtual thunk to OZChannelAngleImpl	2	0
Flexo	OZCurveAngleSplineState	2	0
Flexo	non-virtual thunk to FFOZShapeMaskFolder_Factory	2	0
Flexo	FFEffectRegistryDestructor	2	0
Flexo	std::__1::vector<void*, std::__1::allocator<void*>>	2	0
Flexo	std::__1::vector<FFRetimingAudioSegment, std::__1::allocator<FFRetimingAudioSegment>>	2	0
Flexo	std::__1::map<int, (anonymous namespace)::conversion_t, std::__1::less<int>, std::__1::allocator<std::__1::pair<int const, (anonymous namespace)::conversion_t>>>	2	0
Flexo	std::__1::vector<std::__1::shared_ptr<FFAudioSamplesCache::Block>, std::__1::allocator<std::__1::shared_ptr<FFAudioSamplesCache::Block>>>	2	0
Flexo	std::__1::map<FFImageRepDeferredBlockImageAndState::DeferredBlockImageState, std::__1::set<FFImageRepDeferredBlockImageAndState::DeferredBlockImageState, std::__1::less<FFImageRepDeferredBlockImageAndState::DeferredBlockImageState>, std::__1::allocator<FFImageRepDeferredBlockImageAndState::DeferredBlockImageState>>, std::__1::less<FFImageRepDeferredBlockImageAndState::DeferredBlockImageState>, std::__1::allocator<std::__1::pair<FFImageRepDeferredBlockImageAndState::DeferredBlockImageState const, std::__1::set<FFImageRepDeferredBlockImageAndState::DeferredBlockImageState, std::__1::less<FFImageRepDeferredBlockImageAndState::DeferredBlockImageState>, std::__1::allocator<FFImageRepDeferredBlockImageAndState::DeferredBlockImageState>>>>>	2	0
Flexo	std::__1::vector<FFAudioPanAdvancedSettingChannelKey, std::__1::allocator<FFAudioPanAdvancedSettingChannelKey>>	2	0
Flexo	std::__1::vector<StreamRecord, std::__1::allocator<StreamRecord>>	2	0
Flexo	std::__1::pair<std::__1::vector<unsigned long, std::__1::allocator<unsigned long>>, std::__1::vector<int, std::__1::allocator<int>>>	2	0
Flexo	std::__1::vector<std::__1::pair<long, int>, std::__1::allocator<std::__1::pair<long, int>>>	2	0
Flexo	void std::__1::vector<ProResRaw::PluginDescriptor, std::__1::allocator<ProResRaw::PluginDescriptor>>::__emplace_back_assume_capacity[abi:nqe210106]<ProResRaw	2	0
Flexo	std::__1::vector<ProResRaw::PluginDescriptor, std::__1::allocator<ProResRaw::PluginDescriptor>>	2	0
Flexo	ProResRaw::HostSignPostScope	2	0
Flexo	std::__1::basic_stringstream<char, std::__1::char_traits<char>, std::__1::allocator<char>>	2	0
Flexo	ProResRaw::SignPostScope<(unsigned short)2304, (unsigned short)2305>	2	0
Flexo	non-virtual thunk to ProResRaw::PluginContextXpc	2	0
Flexo	non-virtual thunk to ProResRaw::PluginMetadataXpc	2	0
Flexo	non-virtual thunk to ProResRaw::PluginSettingsContextXpc	2	0
Flexo	non-virtual thunk to ProResRaw::PluginSettingsSnapshotXpc	2	0
Flexo	non-virtual thunk to ProResRaw::PluginMetalProcessorXpc	2	0
Flexo	std::__1::vector<long long, std::__1::allocator<long long>>	2	0
Flexo	ProResRaw::PluginParams	2	0
Flexo	std::__1::vector<std::__1::vector<FFTextSearchResult, std::__1::allocator<FFTextSearchResult>>, std::__1::allocator<std::__1::vector<FFTextSearchResult, std::__1::allocator<FFTextSearchResult>>>>	2	0
Flexo	std::__1::vector<std::__1::vector<cc::spatialclustering::datapoint_t<FFVideoAnalysisCollatedFace*, videoanalysis::collation::box_t>, std::__1::allocator<cc::spatialclustering::datapoint_t<FFVideoAnalysisCollatedFace*, videoanalysis::collation::box_t>>>, std::__1::allocator<std::__1::vector<cc::spatialclustering::datapoint_t<FFVideoAnalysisCollatedFace*, videoanalysis::collation::box_t>, std::__1::allocator<cc::spatialclustering::datapoint_t<FFVideoAnalysisCollatedFace*, videoanalysis::collation::box_t>>>>>	2	0
Flexo	std::__1::vector<cc::rgb_t<float>, std::__1::allocator<cc::rgb_t<float>>>	2	0
Flexo	std::__1::__bit_iterator<std::__1::vector<bool, std::__1::allocator<bool>>, false, 0> std::__1::__copy_unaligned[abi:nqe210106]<std::__1::vector<bool, std::__1	2	0
Flexo	operator<<(std::__1::basic_ostream<char, std::__1	2	0
Flexo	std::__1::basic_ifstream<char, std::__1::char_traits<char>>	2	0
Flexo	FFAudioFile	2	0
Flexo	CAXException	2	0
Flexo	FFLocklessQueue<FFAudioPlaybackScrubBuffer::InputSamplesInOutputData>	2	0
Flexo	FFLocklessQueue<CMTime>	2	0
Flexo	FFLocklessQueueElement<FFAudioPlaybackScrubBuffer::InputSamplesInOutputData>	2	0
Flexo	std::__1::vector<unsigned char*, std::__1::allocator<unsigned char*>>	2	0
Flexo	FFLocklessQueueElement<CMTime>	2	0
Flexo	FFLocklessQueue<FFAudioPlaybackSkipStyleBuffer::BufferSlice*>	2	0
Flexo	FFAudioPlaybackSkipStyleBuffer::BufferSlice	2	0
Flexo	FFLocklessQueueElement<FFAudioPlaybackSkipStyleBuffer::BufferSlice*>	2	0
Flexo	std::__1::vector<FFAudioPlayer*, std::__1::allocator<FFAudioPlayer*>>	2	0
Flexo	FFLocklessQueueElement<FFAudioBufferList*>	2	0
Flexo	std::__1::vector<FFAudioScrubBallisticsMgr::UserPositionEvent, std::__1::allocator<FFAudioScrubBallisticsMgr::UserPositionEvent>>	2	0
Flexo	FFLocklessQueueElement<std::__1::pair<unsigned long long, CMTime>>	2	0
Flexo	FFLocklessQueue<NSArray*>	2	0
Flexo	FFLocklessQueueElement<NSArray*>	2	0
Flexo	ScheduledIOWorkerThread	2	0
Flexo	FFCMIOPlaybackTimebaseStartedSignalQueue	2	0
Flexo	FFLocklessQueueElement<CMIOPlaybackTimebaseStartedSignal>	2	0
Flexo	FFCMIOPlaybackTimingInfoQueue	2	0
Flexo	FFCMIOPlaybackTimestampQueue	2	2
Flexo	FFLocklessQueue<FFCMIOPlaybackTimestamp>	2	0
Flexo	FFCMIOPlaybackErrorQueue	2	0
Flexo	FFLocklessQueueElement<FFCMIOPlaybackTimestamp>	2	0
Flexo	std::__1::vector<PowerMeter, std::__1::allocator<PowerMeter>>	2	0
Flexo	FFLocklessQueueElement<FFAudioRecorderBufferWriteTask*>	2	0
Flexo	FFAudioGraphDeferredDeletionPointerObject<FFAudioNode>	2	0
Flexo	FFAudioGraphDeferredDeletionSharedPointerObject<FFAudioInputAdapter>	2	0
Flexo	FFDCDViewCache	2	0
Flexo	void std::__1::__split_buffer<FFVTDecompressionSession::DecodeRecord*, std::__1::allocator<FFVTDecompressionSession::DecodeRecord*>>::emplace_back<FFVTDecompressionSession	2	0
Flexo	void std::__1::__split_buffer<std::__1::shared_ptr<FFAudioSamplesCache::Request>*, std::__1::allocator<std::__1::shared_ptr<FFAudioSamplesCache::Request>*>>::emplace_back<std::__1::shared_ptr<FFAudioSamplesCache	2	0
Flexo	std::__1::__tree<std::__1::__value_type<PCString, unsigned int>, std::__1::__map_value_compare<PCString, std::__1::pair<PCString const, unsigned int>, std::__1::less<PCString>, true>, std::__1::allocator<std::__1::pair<PCString const, unsigned int>>>	2	0
Flexo	FFPlayerProhibitAllPrivatePlayerLocksThisThreadRAII	2	0
Flexo	FFPlayerScopedReadLock	2	0
Flexo	BWF_Parser	2	0
Flexo	std::__1::vector<AVAssetTrack*, std::__1::allocator<AVAssetTrack*>>	2	0
Flexo	std::__1::list<FFMediaCursorType, std::__1::allocator<FFMediaCursorType>>	2	0
Flexo	FFFigStreamMutexGuard	2	0
Flexo	void insert_sorted<std::__1::list<FFAudioSourceScope, std::__1	2	0
Flexo	std::__1::vector<FFAudioStreamScope*, std::__1::allocator<FFAudioStreamScope*>>	2	0
Flexo	std::__1::vector<FFAudioEffectsBuss::EffectStackGraphData*, std::__1::allocator<FFAudioEffectsBuss::EffectStackGraphData*>>	2	0
Flexo	FFLocklessQueueElement<FFAudioGainChannelBuffer*>	2	0
Flexo	std::__1::vector<std::__1::unique_ptr<FFAudioDynamicScopingWindow::LivePreroller, std::__1::default_delete<FFAudioDynamicScopingWindow::LivePreroller>>, std::__1::allocator<std::__1::unique_ptr<FFAudioDynamicScopingWindow::LivePreroller, std::__1::default_delete<FFAudioDynamicScopingWindow::LivePreroller>>>>	2	0
Flexo	std::__1::list<std::__1::unique_ptr<PEObjectSegmentedVideoStreamUtils::SegmentSourceCacheItem, std::__1::default_delete<PEObjectSegmentedVideoStreamUtils::SegmentSourceCacheItem>>, std::__1::allocator<std::__1::unique_ptr<PEObjectSegmentedVideoStreamUtils::SegmentSourceCacheItem, std::__1::default_delete<PEObjectSegmentedVideoStreamUtils::SegmentSourceCacheItem>>>>	2	0
Flexo	std::__1::vector<std::__1::pair<NSString*, CMTime>, std::__1::allocator<std::__1::pair<NSString*, CMTime>>>	2	0
Flexo	std::__1::__tree_iterator<std::__1::__value_type<FFVideoPropsGroupingKey, FFVideoPropsGroup*>, std::__1::__tree_node<std::__1::__value_type<FFVideoPropsGroupingKey, FFVideoPropsGroup*>, void*>*, long> std::__1::__tree<std::__1::__value_type<FFVideoPropsGroupingKey, FFVideoPropsGroup*>, std::__1::__map_value_compare<FFVideoPropsGroupingKey, std::__1::pair<FFVideoPropsGroupingKey const, FFVideoPropsGroup*>, FFVideoPropsGroupingKey::FFVideoPropsGroupingKeyCompare, true>, std::__1::allocator<std::__1::pair<FFVideoPropsGroupingKey const, FFVideoPropsGroup*>>>	2	0
Flexo	std::__1::__tree<std::__1::__value_type<FFCameraModeProperty, std::__1::list<NSString*, std::__1::allocator<NSString*>>>, std::__1::__map_value_compare<FFCameraModeProperty, std::__1::pair<FFCameraModeProperty const, std::__1::list<NSString*, std::__1::allocator<NSString*>>>, std::__1::less<FFCameraModeProperty>, true>, std::__1::allocator<std::__1::pair<FFCameraModeProperty const, std::__1::list<NSString*, std::__1::allocator<NSString*>>>>>	2	0
Flexo	std::__1::__tree<std::__1::__value_type<int, std::__1::list<NSString*, std::__1::allocator<NSString*>>>, std::__1::__map_value_compare<int, std::__1::pair<int const, std::__1::list<NSString*, std::__1::allocator<NSString*>>>, std::__1::less<int>, true>, std::__1::allocator<std::__1::pair<int const, std::__1::list<NSString*, std::__1::allocator<NSString*>>>>>	2	0
Flexo	std::__1::vector<OMRgbChar, std::__1::allocator<OMRgbChar>>	2	0
Flexo	OMRgbChar	2	0
Flexo	std::__1::vector<std::__1::unique_ptr<FFAudioSamplesCache::Block::SamplesReadyBlockInfo, std::__1::default_delete<FFAudioSamplesCache::Block::SamplesReadyBlockInfo>>, std::__1::allocator<std::__1::unique_ptr<FFAudioSamplesCache::Block::SamplesReadyBlockInfo, std::__1::default_delete<FFAudioSamplesCache::Block::SamplesReadyBlockInfo>>>>	2	0
Flexo	std::__1::deque<std::__1::shared_ptr<FFAudioSamplesCache::Request>, std::__1::allocator<std::__1::shared_ptr<FFAudioSamplesCache::Request>>>	2	0
Flexo	std::__1::__tree_node_base<void*>*& std::__1::__tree<std::__1::shared_ptr<FFAudioSamplesCache::Block>, FFAudioSamplesCache::BlockRequestIDSort, std::__1::allocator<std::__1::shared_ptr<FFAudioSamplesCache::Block>>>::__find_equal<std::__1::shared_ptr<FFAudioSamplesCache	2	0
Flexo	std::__1::unique_ptr<(anonymous namespace)::GeneratePeaksSkimmableChangedListener, std::__1::default_delete<(anonymous namespace)::GeneratePeaksSkimmableChangedListener>>	2	0
Flexo	FFAudioGraphDeferredDeletionPointerObject<FFScopedEffect>	2	0
Flexo	std::__1::vector<std::__1::unique_ptr<FFScopedExternalUnitEffect::AURenderCallbackInfo, std::__1::default_delete<FFScopedExternalUnitEffect::AURenderCallbackInfo>>, std::__1::allocator<std::__1::unique_ptr<FFScopedExternalUnitEffect::AURenderCallbackInfo, std::__1::default_delete<FFScopedExternalUnitEffect::AURenderCallbackInfo>>>>	2	0
Flexo	non-virtual thunk to STParameterEventQueue	2	0
Flexo	STParameterEvent	2	0
Flexo	ausdk::ComponentBase	2	0
Flexo	AUTrimLevel	2	0
Flexo	AUFaderLevel	2	0
Flexo	WithRenderingAUSimpleScoper	2	0
Flexo	OZCurveDoubleSplineState	2	2
Flexo	non-virtual thunk to FFOZObservableFolder	2	0
Flexo	non-virtual thunk to FFOZObservableFolder_Factory	2	0
Flexo	non-virtual thunk to FFOZRootChannel_Factory	2	0
Flexo	virtual thunk to FFCompressionSessionCallbackRef	2	0
Flexo	PCShared	2	0
Flexo	virtual thunk to PCShared	2	0
Flexo	FFPMRAutoTimer	2	0
Flexo	OZUIComponent	2	0
Flexo	std::__1::__tree_node_base<void*>*& std::__1::__tree<std::__1::__value_type<FFMD5, float>, std::__1::__map_value_compare<FFMD5, std::__1::pair<FFMD5 const, float>, std::__1::less<FFMD5>, true>, std::__1::allocator<std::__1::pair<FFMD5 const, float>>>	2	0
Flexo	PCRecursiveMutex	2	0
Flexo	FFLocklessQueueElement<WorkerThread::Task*>	2	0
Flexo	void FFDestAnalyzerSynchronizer::lockStream<FFDestAnalyzerSynchronizer::joinAndCompleteTracking()	2	0
Flexo	FFDestAnalyzerSynchronizer::_LockGuard	2	0
Flexo	void FFDestAnalyzerSynchronizer::lockStream<FFDestAnalyzerSynchronizer::startTracking(id<FFDestAnalyzerProcess>)	2	0
Flexo	void FFDestAnalyzerSynchronizer::lockStream<FFDestAnalyzerSynchronizer::RunProcess_(void*)	2	0
Flexo	std::__1::vector<videoanalysis::collation::motion_t, std::__1::allocator<videoanalysis::collation::motion_t>>	2	0
Flexo	FFDestDominantMotionPrivate::Itf	2	0
Flexo	FFNSObjectStorage3	2	0
Flexo	std::__1::vector<HGBinding, std::__1::allocator<HGBinding>>	2	0
Flexo	std::__1::vector<MXF::MXFPartitionEntry*, std::__1::allocator<MXF::MXFPartitionEntry*>>	2	0
Flexo	MXF	2	0
Flexo	virtual thunk to std::__1::basic_ostringstream<char, std::__1::char_traits<char>, std::__1::allocator<char>>	2	0
Flexo	FFFlexo	2	0
Flexo	OZChannelParameterComponent	2	0
Flexo	OZChannelLabelComponent	2	0
Flexo	OZAnimStatusCellComponent	2	0
Flexo	FFAddCaptionsOperation	2	0
Flexo	FFInspectorCaptionTextCellView	2	0
Flexo	FFErfCache	2	0
Flexo	FFInlinePuckButtonCell	2	0
Flexo	FFContentBundle	2	0
Flexo	FFVoiceOverAnimationComponent	2	0
Flexo	FFPositionPercentChannelController	2	0
Flexo	FFCloudContentHelper	2	0
Flexo	FFAudioAngleComponentsLayout	2	0
Flexo	FFAudioClipComponentsLayout	2	0
Flexo	FFDominantMotionMediaRepController	2	0
Flexo	FFExifParser	2	0
Flexo	FFMetadataArrayController	2	0
Flexo	FFMetadataSortDescriptor	2	0
Flexo	FFMetadataArraySortDescriptor	2	0
Flexo	FFDisableWritePrioritizationObject	2	0
Flexo	NSDate	2	0
Flexo	FFObjectRef	2	0
Flexo	FFRoleAssignmentHelper	2	0
Flexo	FFRoleChangeSequenceSavedState	2	0
Flexo	FFRoleNameHelper	2	0
Flexo	FFNavView	2	0
Flexo	FFFindItemsWithInsufficientDurationForCrossFadeOperation	2	0
Flexo	EDTCMTimeRangeIntersectionDelegate	2	0
Flexo	FFConnectedItemsQuery	2	0
Flexo	FFHorizontalShuffleLeftIterator	2	0
Flexo	FFTimelineStorylineExclusionFilter	2	0
Flexo	FFTrimVideoAdapter	2	0
Flexo	FFReloadItemFilmstripsOperation	2	0
Flexo	FFNullStorylineLock	2	0
Flexo	MicaNoActionLayerDelegate	2	0
Flexo	iLifeImageHelpers	2	0
Flexo	PKStroke	2	0
Flexo	RCFileUtils	2	0
Flexo	FFTouchUpSizeSliderCell	2	0
Flexo	FFTouchUpSizeSlider	2	0
Flexo	FFIsolationHueQualifierController	2	0
Flexo	FFIsolationTypeParameterController	2	0
Flexo	FFTrackerShapeLabelController	2	0
Flexo	FFMaskedEffectBaseController	2	0
Flexo	FFAudioUnitEffectChannelDoubleController	2	0
Flexo	FFConvertToBezierButtonController	2	0
Flexo	FFPolygonOSC	2	0
Flexo	FFLegacyBuiltInColorEffectPreset	2	0
Flexo	FFNoiseReduction360	2	0
Flexo	FFRateConformFrameSamplingCtlr	2	0
Flexo	FFHGSimpleObjectHolder	2	0
Flexo	FFSonySLog2SGamutProcessingInfo	2	0
Flexo	FFBMDFilmProcessingInfo	2	0
Flexo	FFCancelTarget	2	0
Flexo	Transition	2	0
Flexo	DynamicTransition	2	0
Flexo	SportsTransition	2	0
Flexo	TitleEditItem	2	0
Flexo	FlatMapExtra	2	0
Flexo	FFAddEffectComponentChooserRoleColorEnableButton	2	0
Flexo	FFAddEffectComponentChooserComponentTableCellView	2	0
Flexo	FFAudioAnalysisConfigLabelController	2	0
Flexo	FFAudioAnalysisConfigHumFrequencyController	2	0
Flexo	FFAudioEqualizationLabelController	2	0
Flexo	FFAudioComponentsConfigSummaryWaveformManager	2	0
Flexo	FFAudioComponentsConfigTextViewCell	2	0
Flexo	FFAudioComponentsConfigTextView	2	0
Flexo	FFAudioComponentsConfigPopUpButtonCell	2	0
Flexo	FFAudioPanLabelController	2	0
Flexo	FFAudioPanSettingsParamController	2	0
Flexo	FFAudioPanBrickController	2	0
Flexo	FFAuditionCollectionViewFlowLayout	2	0
Flexo	FFAuditionScroller	2	0
Flexo	FFAuditionCollectionViewItemView	2	0
Flexo	FFOrganizerEffectLibraryCollectionView	2	0
Flexo	FFEffectLibraryThemePickerView	2	0
Flexo	FFInspectorAudioBadgeFolderLabelController	2	0
Flexo	FFInspectorAudioResetAnimStateCell	2	0
Flexo	FFInspectorBooleanParameterController	2	0
Flexo	_FFInspectorLabelParameterHeaderController	2	0
Flexo	FFInspectorCollapsableContainerController	2	0
Flexo	FFInspectorHeaderAccessoryView	2	0
Flexo	FFInspectorEffectBrickHeadingController	2	0
Flexo	FFInspectorEffectBundleBrickController	2	0
Flexo	FFInspectorEffectsSectionAppearance	2	0
Flexo	_FFMediaExtensionHeaderController	2	0
Flexo	_FFFileInfoTileHeaderBackgroundView	2	0
Flexo	FFInspectorFolderLabelTextField	2	0
Flexo	FFInspectorModuleColorOZViewCtlrDelegate	2	0
Flexo	FFInspectorModuleColorHeaderOZViewCtlrDelegate	2	0
Flexo	FFInspectorModuleColorMasksHeaderOZViewCtlrDelegate	2	0
Flexo	_FFLibraryContainerController	2	0
Flexo	_FFMetadataTokenizedStringItem	2	0
Flexo	_FFMetadataStringifiedEnumItem	2	0
Flexo	_FFProjectPropertiesDescriptionItem	2	0
Flexo	_FFProjectSharingTokenizedStringItem	2	0
Flexo	_FFProjectSharingHeadlessContainerController	2	0
Flexo	FFInspectorModuleSplitPropertiesColorPrimary	2	0
Flexo	FFInspectorModuleVideoOZViewCtlrDelegate	2	0
Flexo	FFInspectorModuleVideoEffectOZViewCtlrDelegate	2	0
Flexo	FFOZChannelBridgeInspectorHostView	2	0
Flexo	FFInspectorTextCellView	2	0
Flexo	FFInspectorTextField	2	0
Flexo	FFInspectorTextFieldCell	2	0
Flexo	FFInspectorTimecodeDisplayFormatter	2	0
Flexo	FFInspectorVideoEffectsDraggingContext	2	0
Flexo	FFEventLibrarySidebarButtonView	2	0
Flexo	FFEventLibraryModuleSplitView	2	0
Flexo	FFEventLibrarySplitView	2	0
Flexo	FFOrganizerFilmListOutlineBackgroundScrollView	2	0
Flexo	FFEventEmptyStateButtonLayer	2	0
Flexo	FigTimeRangeAndObject	2	0
Flexo	FFOrganizerMediaDetailHeaderView	2	0
Flexo	ProMSMediaServerIPC	2	0
Flexo	FFGrayBackgroundView	2	0
Flexo	FFMDAllProjectsPopoverViewController	2	0
Flexo	FFMDAppleTVModule	2	0
Flexo	FFMDPhotoStackBackgroundLayer	2	0
Flexo	FFMDPhotoLibraryHeaderButtonCell	2	0
Flexo	PHObject	2	0
Flexo	FFConsumerSidebarProjectMediaSectionNode	2	0
Flexo	FFProjectExtrasSectionNode	2	0
Flexo	FFOrganizerSplitView	2	0
Flexo	FFRoleColorPickerTableView	2	0
Flexo	FFHeaderRoleTableCellView	2	0
Flexo	FFRoleGroupOverridePopupController	2	0
Flexo	FFShareDestinationVideoPresetsMakerAudioOnlyCase	2	0
Flexo	FFTheaterEmptyStateButtonLayer	2	0
Flexo	FFWaveformBackgroundLayer	2	0
Flexo	FFWaveformRasterLabelLayer	2	0
Flexo	FFAutoKeyframingEnabledObserver	2	0
Flexo	FFLibraryManagerSaveDelegate	2	0
Flexo	FFNamingPresetTableView	2	0
Flexo	FFRigInspectorBuildContext	2	0
Flexo	PopUpButtonTextField	2	0
Flexo	FFDisplayLinkCallbackHelper	2	0
Flexo	FFSourceMetadataCG	2	0
Flexo	FFDisabledExtensionInfo	2	0
Flexo	FFStreamFigExternalTokenRetainer	2	0
Flexo	FFSourceMetadataFig	2	0
Flexo	PETimelineItemHighlightLayer	2	0
Flexo	FFStreamSharerTokenRetainerObject	2	0
Flexo	FFRADIngestProgressWindowController	2	0
Flexo	FFSegmentationMaskStrokeLayer	2	0
Flexo	FFAudioVolumeToolObjectInfo	2	0
Flexo	FFFontSettingsPopUpButtonCell	2	0
Flexo	FFSharePanelAudioParentBrickViewController	2	0
Flexo	FFSharePanelVideoParentBrickViewController	2	0
Flexo	FFSharePanelEditAudioTrackViewController	2	0
Flexo	FFSharePanelEditVideoTrackViewController	2	0
Flexo	FFRoleListBrickView	2	0
Flexo	FFSharePanelButtonCell	2	0
Flexo	FFFirstResponderView	2	0
Flexo	FFBackgroundShareOperationUserNotificationFactoryConsumer	2	0
Flexo	FFBackgroundShareOperationUserNotificationFactoryPro	2	0
Flexo	NSColor	2	0
Flexo	NSSortDescriptor	2	0
Flexo	FFAudioPreprocessorNormalize	2	0
Flexo	FFMXFMovieWriterHDRMetadata	2	0
Flexo	FFAudioSampleRateFormatter	2	0
Flexo	FFBooleanNumberFormatter	2	0
Flexo	FFFloatArrayFormatter	2	0
Flexo	FFStringArrayFormatter	2	0
Flexo	FFStringFormatter	2	0
Flexo	FFStringSetFormatter	2	0
Flexo	FFTokenizedStringFormatter	2	0
Flexo	FFRoundedWindow	2	0
