fw	class	nMethods	nPorted
Flexo	FFCatalogDocument	73	0
Flexo	FFCurvesLayer	73	0
Flexo	FFCurvesDataSource	73	0
Flexo	FFPasteboard	73	0
Flexo	FFAnchoredComponent	72	0
Flexo	FFLibraryBackupTask	72	0
Flexo	FFMultiAngleItem	72	0
Flexo	FFFadeHandlesLayer	72	0
Flexo	FFShareInfoItem	72	0
ProCore	PCColorSpaceCache	71	0
Flexo	FFAudioPlayer	71	0
Flexo	FFMotionEffectBundle	71	0
Flexo	EDTDupeDetector	71	0
Flexo	FFMaskedEffectOSC	71	0
Flexo	FFSharePanelRolesDataSource	71	0
Ozone	OZFxPlugTimingAPI	70	0
Ozone	OZDFRProjectNavigatorViewController	70	0
Flexo	FFEffectPickerView	70	0
Flexo	FFInspectorModuleOZViewCtlrDelegate	70	0
Flexo	FFMediaSidebarNode	70	0
Flexo	FFAudioComponentsConfigTile	69	0
Flexo	FFImportTapeModule	69	0
Flexo	FFColorSecondaryEffect	68	0
Flexo	FFAnchoredMediaRef	68	0
Flexo	FFREDRAWSettingsController	68	0
Helium	HGGLNode	68	0
Ozone	OZSceneNodeFile	67	0
Ozone	OZMoShape	67	0
Ozone	OZLayerNodeWrapper	67	0
Flexo	FFAudioComponentsLayout	67	0
Flexo	FFEventsSuperModule	67	0
Flexo	FFOrganizedLane	67	0
Flexo	FFVideoFormat	67	0
Flexo	MXFMedia	67	0
ProChannel	CHChannelBase	66	0
Ozone	OZAudioBehavior	66	0
Ozone	OZFileSystemLibEntry	66	0
Flexo	FFAudioGraph	66	0
Flexo	FFDataListClipsViewController	66	0
Flexo	FFInspectorButtonParameterController	66	0
Flexo	FFMDAllProjectsModule	66	0
Flexo	FFMDPhotoObjectCell	66	0
Flexo	FFCinematicOSC	66	0
Flexo	FFRenderStateTracker	66	0
Ozone	OZAudioMixer	65	1
Ozone	OZRetimingUtil	65	0
Ozone	OZRigWidget	65	0
Flexo	FFMaskBase	65	0
Flexo	FFInspectorTextParameterController	65	0
Flexo	FFDestVideoCMIODirect	65	0
Flexo	FFAudioDynamicScopingWindow	64	0
Flexo	FFIMovieIOSImporter	64	0
Flexo	FFDataListLanesDataSource	64	0
Flexo	FFOrganizerFilmstripChunkContainer	64	0
Flexo	FFTheaterBrowserCell	64	0
Ozone	OZCloneGenerator	63	0
Ozone	OZLibraryModule	63	0
